Annee;Diplôme;Numéro de l'établissement;Établissement;Établissement actuel;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;Taux d'emploi;Taux d'emploi salarié en France;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2011;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);30;41;17;93;;;ns;ns;ns;ns;ns;13;8.6;1990;ns;ns;67;;;Paris 2 - Panthéon Assas_30;disc10_30;GBpkg
2011;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;151;77;59;93;;;78;69;84;1820;28300;19;8.6;1990;59;35;86;;;Paris 3 - Sorbonne Nouvelle_30;disc06_30;8k883
2011;MASTER ENS;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;MEEF;Masters enseignement;disc20;Masters enseignement : second degré, CPE...;30 mois après le diplôme;;25;73;7;ns;;;ns;ns;ns;ns;ns;19;8.6;1990;ns;ns;ns;;;Paris René Descartes_30;disc20_30;O2v0H
2011;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;16;82;4;ns;;;ns;ns;ns;ns;ns;19;8.6;1990;ns;ns;ns;;;Paris René Descartes_30;disc03_30;O2v0H
2011;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;16;78;4;ns;;;ns;ns;ns;ns;ns;28;8.6;1990;ns;ns;ns;;;Paris Pierre et Marie Curie_30;disc01_30;3RMeh
2011;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;16;78;4;ns;;;ns;ns;ns;ns;ns;28;8.6;1990;ns;ns;ns;;;Paris Pierre et Marie Curie_30;disc05_30;3RMeh
2011;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;58;61;18;98;;;100;95;98;2440;38100;28;8.6;1990;98;11;20;;;Paris Pierre et Marie Curie_30;disc16_30;3RMeh
2011;MASTER LMD;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;74;68;21;92;;;85;74;87;1890;29500;18;8.6;1990;66;18;79;;;Paris 7 - Denis Diderot_30;disc06_30;5KpJ9
2011;MASTER LMD;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;129;71;36;93;;;99;76;99;2250;35000;18;8.6;1990;89;22;41;;;Paris 7 - Denis Diderot_30;disc12_30;5KpJ9
2011;MASTER LMD;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;35;72;10;91;;;97;59;100;1800;28100;18;8.6;1990;78;28;60;;;Paris 7 - Denis Diderot_30;disc13_30;5KpJ9
2010;MASTER LMD;0750736T;Paris - Dauphine;;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;Université n'ayant pas participé à l'enquête;;;;;;;;;;;;;8.8;1990;nd;nd;nd;;;Paris - Dauphine_30;disc04_30;C6Ps7
2010;MASTER LMD;0750736T;Paris - Dauphine;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;Université n'ayant pas participé à l'enquête;;;;;;;;;;;;;8.8;1990;nd;nd;nd;;;Paris - Dauphine_30;disc12_30;C6Ps7
2010;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;87;69;12;99;;;88;49;92;1800;28100;20;8.8;1990;nd;nd;nd;;;Paris 1 - Panthéon Sorbonne_30;disc11_30;6G2TU
2010;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;7;39;2;ns;;;ns;ns;ns;ns;ns;20;8.8;1990;nd;nd;nd;;;Paris 1 - Panthéon Sorbonne_30;disc12_30;6G2TU
2010;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);19;34;12;ns;;;ns;ns;ns;ns;ns;12;8.8;1990;nd;nd;nd;;;Paris 2 - Panthéon Assas_30;disc07_30;GBpkg
2010;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);19;36;12;ns;;;ns;ns;ns;ns;ns;12;8.8;1990;nd;nd;nd;;;Paris 2 - Panthéon Assas_30;disc10_30;GBpkg
2010;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);;0;.;nd;;;nd;nd;nd;nd;nd;12;8.8;1990;nd;nd;nd;;;Paris 2 - Panthéon Assas_30;disc11_30;GBpkg
2010;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;125;68;72;94;;;78;62;86;1630;25400;21;8.8;1990;nd;nd;nd;;;Paris 3 - Sorbonne Nouvelle_30;disc06_30;8k883
2010;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;28;74;16;ns;;;ns;ns;ns;ns;ns;21;8.8;1990;nd;nd;nd;;;Paris 3 - Sorbonne Nouvelle_30;disc10_30;8k883
2010;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;61;76;16;83;;;88;74;90;1970;30700;21;8.8;1990;nd;nd;nd;;;Paris René Descartes_30;disc11_30;O2v0H
2010;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;7;100;2;ns;;;ns;ns;ns;ns;ns;21;8.8;1990;nd;nd;nd;;;Paris René Descartes_30;disc14_30;O2v0H
2010;MASTER LMD;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;57;63;20;92;;;85;89;96;1760;27500;16;8.8;1990;nd;nd;nd;;;Paris 7 - Denis Diderot_30;disc06_30;5KpJ9
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;153;72;16;93;;;97;87;98;2480;38600;23;7.8;2060;86;27;62;1600;2570;Paris 1 - Panthéon Sorbonne_30;disc02_30;6G2TU
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;103;76;10;87;;;93;55;98;2060;32200;23;7.8;2060;73;26;60;1600;2570;Paris 1 - Panthéon Sorbonne_30;disc05_30;6G2TU
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;104;69;11;80;;;62;55;71;1500;23400;23;7.8;2060;36;25;82;1600;2570;Paris 1 - Panthéon Sorbonne_18;disc06_18;6G2TU
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;245;76;24;86;;;85;60;91;1900;29700;23;7.8;2060;65;26;63;1600;2570;Paris 1 - Panthéon Sorbonne_30;disc07_30;6G2TU
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;9;63;1;ns;;;ns;ns;ns;ns;ns;23;7.8;2060;ns;ns;ns;1600;2570;Paris 1 - Panthéon Sorbonne_30;disc10_30;6G2TU
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;10;42;2;ns;;;ns;ns;ns;ns;ns;23;7.8;2060;ns;ns;ns;1600;2570;Paris 1 - Panthéon Sorbonne_18;disc12_18;6G2TU
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;3;25;1;ns;;;ns;ns;ns;ns;ns;23;7.8;2060;ns;ns;ns;1600;2570;Paris 1 - Panthéon Sorbonne_18;disc14_18;6G2TU
2015;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;86;65;33;92;;;95;50;98;2000;31200;14;7.8;2060;77;23;67;1600;2570;Paris 2 - Panthéon Assas_18;disc02_18;GBpkg
2015;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;26;69;10;ns;;;ns;ns;ns;ns;ns;14;7.8;2060;ns;ns;ns;1600;2570;Paris 2 - Panthéon Assas_18;disc07_18;GBpkg
2015;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;1;43;0;ns;;;ns;ns;ns;ns;ns;21;7.8;2060;ns;ns;ns;1600;2570;Paris René Descartes_18;disc03_18;O2v0H
2015;MASTER ENS;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;48;50;100;100;;;100;95;98;1900;29600;40;7.8;2060;96;12;78;1600;2570;Paris 7 - Denis Diderot_18;disc18_18;5KpJ9
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;103;76;10;89;;;86;42;97;1930;30000;23;7.8;2060;66;26;60;1600;2570;Paris 1 - Panthéon Sorbonne_18;disc05_18;6G2TU
2015;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;3;25;1;ns;;;ns;ns;ns;ns;ns;23;7.8;2060;ns;ns;ns;1600;2570;Paris 1 - Panthéon Sorbonne_30;disc14_30;6G2TU
2015;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;91;67;37;91;;;97;84;95;2190;34200;14;7.8;2060;82;22;59;1600;2570;Paris 2 - Panthéon Assas_18;disc04_18;GBpkg
2015;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;23;49;9;ns;;;ns;ns;ns;ns;ns;21;7.8;2060;ns;ns;ns;1600;2570;Paris René Descartes_18;disc13_18;O2v0H
2015;MASTER ENS;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;48;50;100;100;;;99;96;94;1970;30700;40;7.8;2060;94;12;78;1600;2570;Paris 7 - Denis Diderot_30;disc18_30;5KpJ9
