Annee;Diplôme;Numéro de l'établissement;Établissement;Établissement actuel;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;Taux d'emploi;Taux d'emploi salarié en France;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2017;MASTER ENS;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;22;57;100;ns;;;ns;ns;ns;ns;ns;27;7.1;2120;ns;ns;ns;1620;2620;Paris 1 - Panthéon Sorbonne_18;disc18_18;6G2TU
2017;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;123;72;12;86;;;91;47;87;2000;31200;23;7.1;2120;64;21;61;1620;2620;Paris 1 - Panthéon Sorbonne_30;disc08_30;6G2TU
2017;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;125;66;12;91;;;86;50;92;1750;27300;23;7.1;2120;54;23;75;1620;2620;Paris 1 - Panthéon Sorbonne_18;disc11_18;6G2TU
2017;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;26;60;3;ns;;;ns;ns;ns;ns;ns;23;7.1;2120;ns;ns;ns;1620;2620;Paris 1 - Panthéon Sorbonne_18;disc16_18;6G2TU
2017;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;26;60;3;ns;;;ns;ns;ns;ns;ns;23;7.1;2120;ns;ns;ns;1620;2620;Paris 1 - Panthéon Sorbonne_30;disc16_30;6G2TU
2017;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;33;51;16;94;;;ns;ns;ns;ns;ns;14;7.1;2120;ns;18;32;1620;2620;Paris 2 - Panthéon Assas_18;disc03_18;GBpkg
2017;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;23;40;14;ns;;;ns;ns;ns;ns;ns;14;7.1;2120;ns;ns;ns;1620;2620;Paris 2 - Panthéon Assas_30;disc10_30;GBpkg
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;42;61;6;80;;;79;67;82;ns;ns;26;7.1;2120;60;30;59;1620;2620;Sorbonne Université_18;disc08_18;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;136;65;20;96;;;99;76;97;2380;37200;26;7.1;2120;91;19;79;1620;2620;Sorbonne Université_30;disc10_30;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;72;56;11;92;;;97;71;97;2220;34600;26;7.1;2120;88;24;47;1620;2620;Sorbonne Université_18;disc14_18;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;72;56;11;93;;;99;88;97;2500;39000;26;7.1;2120;91;24;47;1620;2620;Sorbonne Université_30;disc14_30;bxPQe
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;276;69;36;93;;;95;60;73;1790;27900;27;7.1;2120;84;20;78;1620;2620;Université de Paris_18;disc07_18;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;24;64;3;ns;;;ns;ns;ns;ns;ns;27;7.1;2120;ns;ns;ns;1620;2620;Université de Paris_18;disc08_18;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;24;64;3;ns;;;ns;ns;ns;ns;ns;27;7.1;2120;ns;ns;ns;1620;2620;Université de Paris_30;disc08_30;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;94;63;12;95;;;93;70;97;1980;30900;27;7.1;2120;71;15;72;1620;2620;Université de Paris_30;disc11_30;5cZyU
2018;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;1;33;0;ns;;;ns;ns;ns;ns;ns;23;7.7;2170;ns;ns;ns;1650;2700;Paris 1 - Panthéon Sorbonne_30;disc10_30;6G2TU
2018;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;116;63;41;93;;;96;78;99;2600;40600;11;7.7;2170;93;17;67;1650;2700;Paris 2 - Panthéon Assas_30;disc02_30;GBpkg
2018;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;43;71;13;86;;;91;49;89;2000;31200;11;7.7;2170;72;16;79;1650;2700;Paris 2 - Panthéon Assas_30;disc10_30;GBpkg
2018;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;43;71;13;93;;;91;47;89;ns;ns;11;7.7;2170;67;16;79;1650;2700;Paris 2 - Panthéon Assas_18;disc10_18;GBpkg
2018;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;152;71;56;88;;;78;57;84;1650;25700;28;7.7;2170;41;23;80;1650;2700;Paris 3 - Sorbonne Nouvelle_18;disc06_18;8k883
2018;MASTER ENS;0755890V;Sorbonne Université;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;125;53;100;96;;;100;96;98;1830;28500;11;7.7;2170;95;6;80;1650;2700;Sorbonne Université_30;disc18_30;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;4;50;1;ns;;;ns;ns;ns;ns;ns;26;7.7;2170;ns;ns;ns;1650;2700;Sorbonne Université_30;disc01_30;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;89;60;13;89;;;80;59;86;1880;29400;26;7.7;2170;53;29;77;1650;2700;Sorbonne Université_18;disc06_18;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;189;75;22;92;;;97;69;91;2100;32800;26;7.7;2170;78;35;62;1650;2700;Sorbonne Université_30;disc13_30;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;110;80;13;95;;;98;88;98;2560;39900;26;7.7;2170;97;15;9;1650;2700;Sorbonne Université_18;disc16_18;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;83;77;10;85;;;97;85;96;2380;37100;26;7.7;2170;95;14;28;1650;2700;Sorbonne Université_30;disc17_30;bxPQe
2018;MASTER ENS;0755976N;Université de Paris;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;38;59;100;95;;;97;77;90;ns;ns;23;7.7;2170;79;6;60;1650;2700;Université de Paris_18;disc18_18;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;104;63;15;94;;;99;82;99;2550;39800;24;7.7;2170;92;13;71;1650;2700;Université de Paris_30;disc01_30;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;300;66;40;91;;;97;66;82;2000;31200;24;7.7;2170;85;19;79;1650;2700;Université de Paris_30;disc07_30;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;53;58;8;92;;;100;88;90;2380;37100;24;7.7;2170;93;14;48;1650;2700;Université de Paris_30;disc17_30;5cZyU
2019;MASTER ENS;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;6;50;;;;;;;;;;33;7.1;2240;;;;1640;2790;Paris 1 - Panthéon Sorbonne_18;disc18_18;6G2TU
2019;MASTER ENS;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;6;50;;;;;;;;;;33;7.1;2240;;;;1640;2790;Paris 1 - Panthéon Sorbonne_30;disc18_30;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;126;81;11;96;;;98;58;99;2300;35900;23;7.1;2240;88;25;70;1640;2790;Paris 1 - Panthéon Sorbonne_30;disc05_30;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;241;78;22;90;;;91;50;92;1890;29500;23;7.1;2240;59;24;68;1640;2790;Paris 1 - Panthéon Sorbonne_30;disc07_30;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;131;77;12;88;;;89;53;90;1900;29600;23;7.1;2240;60;16;66;1640;2790;Paris 1 - Panthéon Sorbonne_30;disc08_30;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;3;43;0;ns;;;ns;ns;ns;ns;ns;23;7.1;2240;ns;ns;ns;1640;2790;Paris 1 - Panthéon Sorbonne_18;disc14_18;6G2TU
2019;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;239;58;86;89;;;97;76;97;2500;39000;12;7.1;2240;90;19;58;1640;2790;Paris 2 - Panthéon Assas_18;disc01_18;TWBzp
2019;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;59;59;21;88;;;94;76;98;2500;39000;12;7.1;2240;84;20;43;1640;2790;Paris 2 - Panthéon Assas_18;disc03_18;TWBzp
2019;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;67;58;25;96;;;100;83;98;2600;40600;12;7.1;2240;95;19;58;1640;2790;Paris 2 - Panthéon Assas_30;disc04_30;TWBzp
2019;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;29;46;14;ns;;;ns;ns;ns;ns;ns;12;7.1;2240;ns;ns;ns;1640;2790;Paris 2 - Panthéon Assas_30;disc07_30;TWBzp
2019;MASTER ENS;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;10;38;;;;;;;;;;10;7.1;2240;;;;1640;2790;Paris 3 - Sorbonne Nouvelle_18;disc18_18;8k883
2019;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;112;57;53;86;;;84;69;87;1790;27900;31;7.1;2240;60;33;85;1640;2790;Paris 3 - Sorbonne Nouvelle_30;disc06_30;8k883
2019;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;0;;;nd;;;nd;nd;nd;nd;nd;23;7.1;2240;nd;nd;nd;1640;2790;Sorbonne Université_18;disc01_18;bxPQe
2019;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;111;53;18;95;;;93;76;95;2240;34900;23;7.1;2240;84;16;81;1640;2790;Sorbonne Université_30;disc10_30;bxPQe
2019;MASTER ENS;0755976N;Université de Paris;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;45;56;100;96;;;88;70;95;1800;28100;32;7.1;2240;85;16;70;1640;2790;Université de Paris_18;disc18_18;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;41;56;6;98;;;95;89;98;2330;36400;25;7.1;2240;92;17;56;1640;2790;Université de Paris_18;disc04_18;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;206;63;31;92;;;98;76;95;2400;37400;25;7.1;2240;87;23;51;1640;2790;Université de Paris_30;disc12_30;5cZyU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;152;71;17;90;;;96;81;99;2400;37400;18;8.3;2050;89;20;60;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc02_30;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;116;75;12;84;;;63;61;84;1740;27200;18;8.3;2050;45;28;69;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc06_30;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;117;72;13;85;;;85;60;92;1770;27500;18;8.3;2050;56;38;74;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc11_30;6G2TU
2014;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;103;60;40;97;;;96;80;98;2390;37300;10;8.3;2050;91;20;60;1610;2560;Paris 2 - Panthéon Assas_30;disc02_30;GBpkg
2014;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;59;79;23;67;;;67;53;78;ns;ns;26;8.3;2050;47;22;78;1610;2560;Paris 3 - Sorbonne Nouvelle_18;disc10_18;8k883
2014;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;160;64;47;94;;;92;81;95;2250;35100;28;8.3;2050;80;16;79;1610;2560;Paris 4 - Sorbonne_30;disc10_30;kvciR
2014;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;20;67;6;ns;;;ns;ns;ns;ns;ns;28;8.3;2050;ns;ns;ns;1610;2560;Paris 4 - Sorbonne_30;disc11_30;kvciR
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;32;64;10;94;;;ns;ns;ns;ns;ns;21;8.3;2050;ns;18;37;1610;2560;Paris René Descartes_18;disc04_18;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;35;58;12;86;;;ns;ns;ns;ns;ns;21;8.3;2050;ns;27;73;1610;2560;Paris René Descartes_18;disc13_18;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;35;58;12;94;;;97;61;94;ns;ns;21;8.3;2050;93;27;73;1610;2560;Paris René Descartes_30;disc13_30;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;3;38;1;ns;;;ns;ns;ns;ns;ns;21;8.3;2050;ns;ns;ns;1610;2560;Paris René Descartes_30;disc14_30;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;40;48;14;93;;;97;76;97;ns;ns;21;8.3;2050;78;18;45;1610;2560;Paris René Descartes_18;disc17_18;O2v0H
2014;MASTER ENS;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;14;68;;;;;;;;;;50;8.3;2050;;;;1610;2560;Paris Pierre et Marie Curie_30;disc18_30;3RMeh
2014;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;59;54;17;85;;;92;88;100;2150;33500;29;8.3;2050;88;28;44;1610;2560;Paris Pierre et Marie Curie_30;disc14_30;3RMeh
2014;MASTER ENS;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;16;73;;;;;;;;;;20;8.3;2050;;;;1610;2560;Paris 7 - Denis Diderot_30;disc18_30;5KpJ9
2013;MASTER LMD;0750736T;Paris - Dauphine;;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;0;;;;;;;;;;;29;8.8;2070;;;;1630;2580;Paris - Dauphine_18;disc02_18;C6Ps7
2013;MASTER LMD;0750736T;Paris - Dauphine;;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;0;;;;;;;;;;;29;8.8;2070;;;;1630;2580;Paris - Dauphine_18;disc03_18;C6Ps7
2013;MASTER LMD;0750736T;Paris - Dauphine;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;0;;;;;;;;;;;29;8.8;2070;;;;1630;2580;Paris - Dauphine_30;disc14_30;C6Ps7
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;90;66;10;89;;;96;66;100;2330;36400;21;8.8;2070;81;22;62;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc03_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;105;77;12;80;;;89;45;93;1850;28800;21;8.8;2070;58;24;69;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc05_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;108;78;11;82;;;72;55;73;1560;24300;21;8.8;2070;34;28;85;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc06_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;108;78;11;81;;;76;63;75;1560;24300;21;8.8;2070;42;28;85;1630;2580;Paris 1 - Panthéon Sorbonne_30;disc06_30;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;64;73;7;74;;;81;31;91;1950;30400;21;8.8;2070;70;31;70;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc08_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;6;60;1;ns;;;ns;ns;ns;ns;ns;21;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc10_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;6;47;1;ns;;;ns;ns;ns;ns;ns;21;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc14_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;3;60;0;ns;;;ns;ns;ns;ns;ns;21;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc16_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;3;60;0;ns;;;ns;ns;ns;ns;ns;21;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_30;disc16_30;6G2TU
2013;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;173;48;88;87;;;97;87;100;2490;38900;10;8.8;2070;91;26;58;1630;2580;Paris 2 - Panthéon Assas_30;disc01_30;GBpkg
2013;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;73;45;38;87;;;94;68;94;ns;ns;10;8.8;2070;88;ns;59;1630;2580;Paris 2 - Panthéon Assas_18;disc02_18;GBpkg
2013;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;116;55;63;86;;;71;69;82;1730;27000;23;8.8;2070;56;29;82;1630;2580;Paris 3 - Sorbonne Nouvelle_30;disc06_30;8k883
2013;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;66;53;37;81;;;62;40;78;1600;25000;23;8.8;2070;33;21;83;1630;2580;Paris 3 - Sorbonne Nouvelle_18;disc07_18;8k883
2013;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;27;50;15;ns;;;ns;ns;ns;ns;ns;23;8.8;2070;ns;ns;ns;1630;2580;Paris 3 - Sorbonne Nouvelle_30;disc11_30;8k883
2013;MASTER ENS;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;92;55;100;100;;;94;99;94;1730;26900;;8.8;2070;91;8;91;1630;2580;Paris 4 - Sorbonne_30;disc18_30;kvciR
2013;MASTER ENS;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;20;42;100;ns;;;ns;ns;ns;ns;ns;;8.8;2070;ns;ns;ns;1630;2580;Paris René Descartes_18;disc18_18;O2v0H
2013;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;10;43;3;ns;;;ns;ns;ns;ns;ns;20;8.8;2070;ns;ns;ns;1630;2580;Paris René Descartes_30;disc03_30;O2v0H
2013;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;100;67;25;94;;;97;59;67;1740;27100;20;8.8;2070;94;17;95;1630;2580;Paris René Descartes_30;disc09_30;O2v0H
2013;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;78;65;21;91;;;91;76;90;1980;30900;20;8.8;2070;61;18;83;1630;2580;Paris René Descartes_30;disc11_30;O2v0H
2013;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;30;55;10;84;;;ns;ns;ns;ns;ns;20;8.8;2070;ns;ns;76;1630;2580;Paris René Descartes_18;disc13_18;O2v0H
